title;description;url;image
PDF Generator;This is a PDF generator that creates a pdf containing various Python topics as well as space to take notes on them.;https://github.com/shiamakd25/pdf-gen-python;image
Invoices to PDF; This project generates a PDF file for invoices created in Excel; https://github.com/shiamakd25/pdf-invoice-from-excel-python
